playerId,name,team,position,games_played,I_F_goals,I_F_shotsOnGoal,I_F_xGoals,icetime,goals_per_game,shots_per_game,shooting_pct
8481599,Victor Soderstrom,ARI,D,3,0.0,1.0,0.03,2734.0,0.0,0.3333333333333333,0.0
8476372,Nick Seeler,PHI,D,71,1.0,100.0,3.36,72200.0,0.014084507042253521,1.408450704225352,0.01
8480880,Jakub Lauko,BOS,C,60,2.0,43.0,6.14,35355.0,0.03333333333333333,0.7166666666666667,0.046511627906976744
8476346,Johnny Gaudreau,CBJ,L,81,12.0,160.0,16.99,91431.0,0.14814814814814814,1.9753086419753085,0.075
8480289,Morgan Barron,WPG,C,80,11.0,94.0,9.13,50385.0,0.1375,1.175,0.11702127659574468
8476483,Rickard Rakell,PIT,R,70,15.0,165.0,19.5,69366.0,0.21428571428571427,2.357142857142857,0.09090909090909091
8480068,Ryan Poehling,PHI,C,77,11.0,111.0,11.91,69280.0,0.14285714285714285,1.4415584415584415,0.0990990990990991
8478146,Matthew Highmore,OTT,C,7,0.0,1.0,0.6,3238.0,0.0,0.14285714285714285,0.0
8480834,Ty Emberson,SJS,D,30,1.0,31.0,0.83,33389.0,0.03333333333333333,1.0333333333333334,0.03225806451612903
8477335,Kyle Burroughs,SJS,D,73,2.0,79.0,3.38,83858.0,0.0273972602739726,1.082191780821918,0.02531645569620253
8481013,Jonatan Berggren,DET,R,12,2.0,14.0,1.27,7820.0,0.16666666666666666,1.1666666666666667,0.14285714285714285
8479996,Cody Glass,NSH,C,41,6.0,82.0,9.04,33043.0,0.14634146341463414,2.0,0.07317073170731707
8475692,Mats Zuccarello,MIN,R,69,12.0,173.0,15.12,78215.0,0.17391304347826086,2.5072463768115942,0.06936416184971098
8474053,Logan Couture,SJS,C,6,0.0,7.0,1.08,6751.0,0.0,1.1666666666666667,0.0
8484321,Nikolas Matinpalo,OTT,D,4,0.0,2.0,0.03,1681.0,0.0,0.5,0.0
